Company,Rank,Year,Revenue (in millions),Profit (in millions)
Packaging Corp. of America,446,2016,5742,437
Quintiles IMS Holdings,447,2016,5738,387
Hanesbrands,448,2016,5732,429
Realogy Holdings,449,2016,5706,184
Mattel,450,2016,5703,369
Motorola Solutions,451,2016,5695,610
J.M. Smucker,452,2016,5693,345
Regions Financial,453,2016,5674,1062
Celanese,453,2016,5674,304
Clorox,455,2016,5666,580
Ingredion,456,2016,5621,402
Genesis Healthcare,457,2016,5619,426
Peabody Energy,458,2016,5609,1996
Alaska Air Group,459,2016,5598,848
Seaboard,460,2016,5594,171
Frontier Communications,461,2016,5576,196
Amphenol,462,2016,5569,764
Lansing Trade Group,463,2016,5565,35
SanDisk,464,2016,5565,389
St. Jude Medical,465,2016,5541,880
Wyndham Worldwide,466,2016,5536,612
Kelly Services,467,2016,5518,54
Western Union,468,2016,5484,838
Envision Healthcare Holdings,469,2016,5448,145
Visteon,470,2016,5444,2284
Arthur J. Gallagher,471,2016,5392,357
Host Hotels & Resorts,472,2016,5387,558
Ashland,472,2016,5387,309
Insight Enterprises,474,2016,5373,76
Energy Future Holdings,475,2016,5370,5342
Markel,476,2016,5370,583
Essendant,477,2016,5363,44
CH2M Hill,478,2016,5362,80
Western & Southern Financial Group,479,2016,5356,457
Owens Corning,480,2016,5350,330
S&P Global,481,2016,5313,1156
Raymond James Financial,482,2016,5308,502
NiSource,483,2016,5308,287
Airgas,484,2016,5305,368
ABM Industries,485,2016,5291,76
Citizens Financial Group,486,2016,5276,840
Booz Allen Hamilton Holding,487,2016,5275,233
Simon Property Group,488,2016,5266,1828
Domtar,489,2016,5264,142
Rockwell Collins,490,2016,5262,686
Lam Research,491,2016,5259,656
Fiserv,492,2016,5254,712
Spectra Energy,493,2016,5234,196
Navient,494,2016,5197,997
Big Lots,495,2016,5191,143
Telephone & Data Systems,496,2016,5176,219
First American Financial,497,2016,5176,288
NVR,498,2016,5170,383
Cincinnati Financial,499,2016,5142,634
Burlington Stores,500,2016,5130,151
Walmart,1,2017,485873,13643
Berkshire Hathaway,2,2017,223604,24074
Apple,3,2017,215639,45687
Exxon Mobil,4,2017,205004,7840
McKesson,5,2017,192487,2258
UnitedHealth Group,6,2017,184840,7017
CVS Health,7,2017,177526,5317
General Motors,8,2017,166380,9427
AT&T,9,2017,163786,12976
Ford Motor,10,2017,151800,4596
AmerisourceBergen,11,2017,146850,1428
Amazon.com,12,2017,135987,2371
General Electric,13,2017,126661,8831
Verizon Communications,14,2017,125980,13127
Cardinal Health,15,2017,121546,1427
Costco,16,2017,118719,2350
Walgreens Boots Alliance,17,2017,117351,4173
Kroger,18,2017,115337,1975
Chevron,19,2017,107567,497
Fannie Mae,20,2017,107162,12313
J.P. Morgan Chase,21,2017,105486,24733
Express Scripts Holding,22,2017,100288,3404
Home Depot,23,2017,94595,7957
Boeing,24,2017,94571,4895
Wells Fargo,25,2017,94176,21938
Bank of America Corp.,26,2017,93662,17906
Alphabet,27,2017,90272,19478
Microsoft,28,2017,85320,16798
Anthem,29,2017,84863,2470
Citigroup,30,2017,82386,14912
Comcast,31,2017,80403,8695
IBM,32,2017,79919,11872
State Farm Insurance Cos.,33,2017,76132,350
Phillips 66,34,2017,72396,1555
Johnson & Johnson,35,2017,71890,16540
Procter & Gamble,36,2017,71726,10508
Valero Energy,37,2017,70166,2289
Target,38,2017,69495,2737
Freddie Mac,39,2017,65665,7815
Lowe's,40,2017,65017,3093
Dell Technologies,41,2017,64806,1672
MetLife,42,2017,63476,800
Aetna,43,2017,63155,2271
PepsiCo,44,2017,62799,6329
Archer Daniels Midland,45,2017,62346,1279
UPS,46,2017,60906,3431
Intel,47,2017,59387,10316
Prudential Financial,48,2017,58779,4368
Albertsons Cos.,49,2017,58734,502
United Technologies,50,2017,57244,5055
Marathon Petroleum,51,2017,55858,1174
Disney,52,2017,55632,9391
Humana,53,2017,54379,614
Pfizer,54,2017,52824,7215
AIG,55,2017,52367,849
Lockheed Martin,56,2017,50658,5302
Sysco,57,2017,50367,950
FedEx,58,2017,50365,1820
Hewlett Packard Enterprise,59,2017,50123,3161
Cisco Systems,60,2017,49247,10739
HP,61,2017,48238,2496
Dow Chemical,62,2017,48158,4318
HCA Holdings,63,2017,44747,2890
Coca-Cola,64,2017,41863,6527
New York Life Insurance,65,2017,40787,1088
Centene,66,2017,40721,562
American Airlines Group,67,2017,40180,2676
Nationwide,68,2017,40074,334
Merck,69,2017,39807,3920
Cigna,70,2017,39668,1867
Delta Air Lines,71,2017,39639,4373
Best Buy,72,2017,39403,1228
Honeywell International,73,2017,39302,4809
Caterpillar,74,2017,38537,67
Liberty Mutual Insurance Group,75,2017,38308,1006
Morgan Stanley,76,2017,37949,5979
Massachusetts Mutual Life Insurance,77,2017,37788,1274
Goldman Sachs Group,78,2017,37712,7398
Energy Transfer Equity,79,2017,37504,995
TIAA,80,2017,37105,1492
Oracle,81,2017,37047,8901
Tyson Foods,82,2017,36881,1768
United Continental Holdings,83,2017,36556,2263
Allstate,84,2017,36534,1877
Publix Super Markets,85,2017,34274,2026
American Express,86,2017,33823,5408
TJX,87,2017,33184,2298
Nike,88,2017,32376,3760
Exelon,89,2017,31360,1134
General Dynamics,90,2017,31353,2955
Rite Aid,91,2017,30737,166
Gilead Sciences,92,2017,30390,13501
CHS,93,2017,30347,424
3M,94,2017,30109,5050
Time Warner,95,2017,29318,3926
Charter Communications,96,2017,29003,3522
Northwestern Mutual,97,2017,28799,818
Facebook,98,2017,27638,10217
Travelers Cos.,99,2017,27625,3014
Capital One Financial,100,2017,27519,3751
Twenty-First Century Fox,101,2017,27326,2755
USAA,102,2017,27131,1779
World Fuel Services,103,2017,27016,127
Philip Morris International,104,2017,26685,6967
Deere,105,2017,26644,1524
Kraft Heinz,106,2017,26487,3632
Tech Data,107,2017,26235,195
Avnet,108,2017,26219,507
Mondelez International,109,2017,25923,1659
Macy's,110,2017,25778,619
AbbVie,111,2017,25638,5953
McDonald's,112,2017,24622,4687
DuPont,113,2017,24594,2513
Northrop Grumman,114,2017,24508,2200
ConocoPhillips,115,2017,24360,3615
Raytheon,116,2017,24069,2211
Andeavor,117,2017,24005,734
Arrow Electronics,118,2017,23825,523
Qualcomm,119,2017,23554,5705
Progressive,120,2017,23441,1031
Duke Energy,121,2017,23369,2152
Enterprise Products Partners,122,2017,23022,2513
Amgen,123,2017,22991,7722
US Foods Holding,124,2017,22919,210
U.S. Bancorp,125,2017,22744,5888
Aflac,126,2017,22559,2659
Sears Holdings,127,2017,22138,2221
Dollar General,128,2017,21987,1251
AutoNation,129,2017,21609,431
Community Health Systems,130,2017,21374,1721
Starbucks,131,2017,21316,2818
Eli Lilly,132,2017,21222,2738
International Paper,133,2017,21079,904
Tenet Healthcare,134,2017,21070,192
Abbott Laboratories,135,2017,20853,1400
Dollar Tree,136,2017,20719,896
Whirlpool,137,2017,20718,888
Southwest Airlines,138,2017,20425,2244
Emerson Electric,139,2017,20268,1635
Staples,140,2017,20217,1497
Plains GP Holdings,141,2017,20182,94
Penske Automotive Group,142,2017,20143,343
Union Pacific,143,2017,19941,4233
Danaher,144,2017,19912,2554
Southern,145,2017,19896,2448
ManpowerGroup,146,2017,19654,444
Bristol-Myers Squibb,147,2017,19427,4457
Altria Group,148,2017,19337,14239
Fluor,149,2017,19037,281
Kohl's,150,2017,18686,556
Lear,151,2017,18558,975
Jabil,152,2017,18353,254
Hartford Financial Services Group,153,2017,18300,896
Thermo Fisher Scientific,154,2017,18274,2022
Kimberly-Clark,155,2017,18202,2166
Molina Healthcare,156,2017,17782,52
PG&E Corp.,157,2017,17666,1393
Supervalu,158,2017,17529,178
Cummins,159,2017,17509,1394
CenturyLink,160,2017,17470,626
AECOM,161,2017,17411,96
Xerox,162,2017,17126,477
Marriott International,163,2017,17072,780
Paccar,164,2017,17033,522
General Mills,165,2017,16563,1697
PNC Financial Services Group,166,2017,16423,3903
American Electric Power,167,2017,16380,611
Icahn Enterprises,168,2017,16348,1128
Nucor,169,2017,16208,796
NextEra Energy,170,2017,16155,2912
Performance Food Group,171,2017,16105,68
PBF Energy,172,2017,15920,171
Halliburton,173,2017,15887,5763
CarMax,174,2017,15833,623
Freeport-McMoRan,175,2017,15789,4154
Whole Foods Market,176,2017,15724,507
Bank of New York Mellon,177,2017,15683,3547
Gap,178,2017,15516,676
Omnicom Group,179,2017,15417,1149
Genuine Parts,180,2017,15340,687
DaVita,181,2017,15197,880
Colgate-Palmolive,182,2017,15195,2441
PPG Industries,183,2017,15178,877
Goodyear Tire & Rubber,184,2017,15158,1264
Synchrony Financial,185,2017,15122,2251
DISH Network,186,2017,15095,1450
Visa,187,2017,15082,5991
Nordstrom,188,2017,14757,354
INTL FCStone,189,2017,14755,55
WestRock,190,2017,14706,396
XPO Logistics,191,2017,14619,69
Aramark,192,2017,14416,288
CBS,193,2017,14386,1261
AES,194,2017,14287,1130
WellCare Health Plans,195,2017,14237,242
FirstEnergy,196,2017,14156,6177
Conagra Brands,197,2017,14134,677
Synnex,198,2017,14062,235
CDW,199,2017,13982,424
Textron,200,2017,13788,962
Waste Management,201,2017,13609,1182
Illinois Tool Works,202,2017,13599,2035
Office Depot,203,2017,13585,529
Monsanto,204,2017,13502,1336
Cognizant Technology Solutions,205,2017,13487,1553
Texas Instruments,206,2017,13370,3595
Lincoln National,207,2017,13330,1192
Newell Brands,208,2017,13264,528
Land O'Lakes,209,2017,13233,245
Marsh & McLennan,210,2017,13211,1768
Ecolab,211,2017,13153,1230
C.H. Robinson Worldwide,212,2017,13144,513
Loews,213,2017,13105,654
CBRE Group,214,2017,13072,572
Kinder Morgan,215,2017,13058,708
Kellogg,216,2017,13014,694
Western Digital,217,2017,12994,242
Guardian Life Ins. Co. of America,218,2017,12919,264
Ross Stores,219,2017,12867,1118
L Brands,220,2017,12574,1158
J.C. Penney,221,2017,12547,1
Farmers Insurance Exchange,222,2017,12513,148
Reynolds American,223,2017,12503,6073
Viacom,224,2017,12488,1438
Becton Dickinson,225,2017,12483,976
Micron Technology,226,2017,12399,276
Principal Financial,227,2017,12394,1317
Arconic,228,2017,12394,941
NRG Energy,229,2017,12351,774
VF,230,2017,12207,1074
Devon Energy,231,2017,12197,3302
D.R. Horton,232,2017,12157,886
Bed Bath & Beyond,233,2017,12104,842
Consolidated Edison,234,2017,12075,1245
Edison International,235,2017,11869,1311
Sherwin-Williams,236,2017,11856,1133
NGL Energy Partners,237,2017,11742,199
Dominion Energy,238,2017,11737,2123
Ameriprise Financial,239,2017,11735,1314
ADP,240,2017,11668,1493
Hilton Worldwide Holdings,241,2017,11663,348
First Data,242,2017,11584,420
Henry Schein,243,2017,11572,507
"Toys ""R"" Us",244,2017,11540,36
BB&T Corp.,245,2017,11538,2426
Reinsurance Group of America,246,2017,11522,701
Core-Mark Holding,247,2017,11507,54
Biogen,248,2017,11449,3703
Las Vegas Sands,249,2017,11410,1670
Stanley Black & Decker,250,2017,11407,965
Parker-Hannifin,251,2017,11361,807
Stryker,252,2017,11325,1647
Estee Lauder,253,2017,11262,1115
Celgene,254,2017,11229,1999
BlackRock,255,2017,11155,3172
Xcel Energy,256,2017,11107,1123
CSX,257,2017,11069,1714
Unum Group,258,2017,11047,931
Jacobs Engineering Group,259,2017,10964,211
Lennar,260,2017,10950,912
Group 1 Automotive,261,2017,10888,147
Leucadia National,262,2017,10875,130
Entergy,263,2017,10846,584
PayPal Holdings,264,2017,10842,1401
Applied Materials,265,2017,10825,1721
Voya Financial,266,2017,10782,428
Mastercard,267,2017,10776,4059
Priceline Group,268,2017,10743,2135
Liberty Interactive,269,2017,10647,1235
AutoZone,270,2017,10636,1241
State Street Corp.,271,2017,10635,2143
DTE Energy,272,2017,10630,868
L3 Technologies,273,2017,10597,710
HollyFrontier,274,2017,10536,261
Praxair,275,2017,10534,1500
Universal Health Services,276,2017,10508,702
Discover Financial Services,277,2017,10497,2393
Occidental Petroleum,278,2017,10398,574
United States Steel,279,2017,10261,440
Sempra Energy,280,2017,10183,1370
Baxter International,281,2017,10163,4965
W.W. Grainger,282,2017,10137,606
Autoliv,283,2017,10074,567
Norfolk Southern,284,2017,9888,1668
Baker Hughes,285,2017,9841,2738
Ally Financial,286,2017,9835,1067
Sonic Automotive,287,2017,9732,93
Owens & Minor,288,2017,9723,109
Huntsman,289,2017,9657,326
Laboratory Corp. of America,290,2017,9642,732
Murphy USA,291,2017,9633,222
Advance Auto Parts,292,2017,9568,460
Fidelity National Financial,293,2017,9554,650
Air Products & Chemicals,294,2017,9524,631
Hormel Foods,295,2017,9523,890
Hertz Global Holdings,296,2017,9480,491
MGM Resorts International,297,2017,9455,1101
Corning,298,2017,9390,3695
Republic Services,299,2017,9388,613
Alcoa,300,2017,9318,400
Fidelity National Information Services,301,2017,9241,568
Pacific Life,302,2017,9169,824
SunTrust Banks,303,2017,9161,1878
LKQ,304,2017,9082,464
BorgWarner,305,2017,9071,119
Ball,306,2017,9061,263
CST Brands,306,2017,9061,324
Public Service Enterprise Group,306,2017,9061,887
Eastman Chemical,309,2017,9008,854
eBay,310,2017,8979,7266
Mohawk Industries,311,2017,8959,930
Oneok,312,2017,8921,352
Frontier Communications,313,2017,8896,373
Netflix,314,2017,8831,187
American Family Insurance Group,315,2017,8829,326
Thrivent Financial for Lutherans,316,2017,8777,588
Expedia,317,2017,8774,282
Lithia Motors,318,2017,8678,197
Avis Budget Group,319,2017,8659,163
Reliance Steel & Aluminum,320,2017,8613,304
GameStop,321,2017,8608,353
Tenneco,322,2017,8599,363
O'Reilly Automotive,323,2017,8593,1038
Peter Kiewit Sons',324,2017,8573,396
United Natural Foods,325,2017,8470,126
salesforce.com,326,2017,8392,180
Boston Scientific,327,2017,8386,347
Newmont Mining,328,2017,8379,627
Genworth Financial,329,2017,8369,277
Live Nation Entertainment,330,2017,8355,3
Veritiv,331,2017,8327,21
News Corp.,332,2017,8319,179
Crown Holdings,333,2017,8284,496
Global Partners,334,2017,8240,199
PVH,335,2017,8203,549
Level 3 Communications,336,2017,8172,677
Navistar International,337,2017,8111,97
Univar,338,2017,8074,68
Campbell Soup,339,2017,7961,563
Dick's Sporting Goods,340,2017,7922,287
Weyerhaeuser,341,2017,7902,1027
Mutual of Omaha Insurance,342,2017,7899,357
Chesapeake Energy,343,2017,7872,4401
Anadarko Petroleum,344,2017,7869,3071
Interpublic Group,345,2017,7847,609
J.M. Smucker,346,2017,7811,689
Steel Dynamics,347,2017,7777,382
Foot Locker,348,2017,7766,664
Western Refining,349,2017,7743,125
SpartanNash,350,2017,7735,57
Dean Foods,351,2017,7710,120
Zimmer Biomet Holdings,352,2017,7684,306
PulteGroup,353,2017,7669,603
W.R. Berkley,354,2017,7654,602
Quanta Services,355,2017,7651,198
EOG Resources,356,2017,7651,1097
Charles Schwab,357,2017,7644,1889
Eversource Energy,358,2017,7639,942
Anixter International,359,2017,7625,121
EMCOR Group,360,2017,7552,182
Assurant,361,2017,7532,565
CenterPoint Energy,362,2017,7528,432
Harris,363,2017,7527,324
HD Supply Holdings,364,2017,7524,196
PPL,365,2017,7517,1902
Quest Diagnostics,366,2017,7515,645
Williams,367,2017,7499,424
WEC Energy Group,368,2017,7472,939
Hershey,369,2017,7440,720
AGCO,370,2017,7411,160
Ralph Lauren,371,2017,7405,396
Masco,372,2017,7357,491
WESCO International,373,2017,7336,102
LifePoint Health,374,2017,7274,122
National Oilwell Varco,375,2017,7251,2412
Kindred Healthcare,376,2017,7227,664
Mosaic,377,2017,7163,298
Alliance Data Systems,378,2017,7138,516
Computer Sciences,379,2017,7106,251
Huntington Ingalls Industries,380,2017,7068,573
Leidos Holdings,381,2017,7043,244
Erie Insurance Group,382,2017,7016,742
Tesla,383,2017,7000,675
Ascena Retail Group,384,2017,6995,12
Darden Restaurants,385,2017,6934,375
Harman International Industries,386,2017,6912,362
Nvidia,387,2017,6910,1666
R.R. Donnelley & Sons,388,2017,6896,496
Fifth Third Bancorp,389,2017,6889,1564
Quintiles IMS Holdings,390,2017,6878,115
Jones Lang LaSalle,391,2017,6804,318
Dover,392,2017,6794,509
Spirit AeroSystems Holdings,393,2017,6793,470
Ryder System,394,2017,6787,263
A-Mark Precious Metals,395,2017,6784,9
Tractor Supply,396,2017,6780,437
Sealed Air,397,2017,6778,486
Auto-Owners Insurance,398,2017,6775,706
Yum China Holdings,399,2017,6752,502
Calpine,400,2017,6716,92
Owens-Illinois,401,2017,6702,209
Targa Resources,402,2017,6691,187
JetBlue Airways,403,2017,6632,759
Jones Financial (Edward Jones),403,2017,6632,746
Franklin Resources,405,2017,6618,1727
Activision Blizzard,406,2017,6608,966
J.B. Hunt Transport Services,407,2017,6556,432
Constellation Brands,408,2017,6548,1055
NCR,409,2017,6543,270
Asbury Automotive Group,410,2017,6528,167
American Financial Group,411,2017,6498,649
Discovery Communications,412,2017,6497,1194
Berry Global Group,413,2017,6489,236
Sanmina,414,2017,6481,188
CalAtlantic Group,415,2017,6477,485
Dr Pepper Snapple Group,416,2017,6440,847
Dillard's,417,2017,6418,169
HRG Group,418,2017,6403,199
CMS Energy,419,2017,6399,551
Graybar Electric,420,2017,6385,93
Builders FirstSource,421,2017,6367,144
Yum Brands,422,2017,6366,1619
Casey's General Stores,423,2017,6304,226
Amphenol,424,2017,6286,823
Oshkosh,425,2017,6279,216
iHeartMedia,426,2017,6274,296
TreeHouse Foods,427,2017,6175,229
Alleghany,428,2017,6131,457
Expeditors International of Washington,429,2017,6098,431
Avery Dennison,430,2017,6087,321
Ameren,431,2017,6076,653
Hanesbrands,432,2017,6063,539
Motorola Solutions,433,2017,6038,560
St. Jude Medical,434,2017,6004,734
Harley-Davidson,435,2017,5997,692
Regions Financial,436,2017,5967,1163
Intercontinental Exchange,437,2017,5958,1422
Alaska Air Group,438,2017,5931,814
Old Republic International,439,2017,5901,467
Lam Research,440,2017,5886,914
AK Steel Holding,441,2017,5883,8
Rockwell Automation,442,2017,5880,730
Adobe Systems,443,2017,5854,1169
Avon Products,444,2017,5853,108
Terex,445,2017,5841,176
NVR,446,2017,5835,425
Dana,447,2017,5826,640
Realogy Holdings,448,2017,5810,213
American Tower,449,2017,5786,956
Packaging Corp. of America,450,2017,5779,450
Citizens Financial Group,451,2017,5763,1045
United Rentals,452,2017,5762,566
Clorox,453,2017,5761,648
Genesis Healthcare,454,2017,5733,64
M&T Bank Corp.,455,2017,5722,1315
Ingredion,456,2017,5704,485
UGI,457,2017,5686,365
Owens Corning,458,2017,5677,393
S&P Global,459,2017,5661,2106
Markel,460,2017,5612,456
Wyndham Worldwide,461,2017,5599,611
Arthur J. Gallagher,462,2017,5595,414
Burlington Stores,463,2017,5591,216
First American Financial,464,2017,5576,343
Symantec,465,2017,5568,2488
Patterson,466,2017,5555,187
Olin,467,2017,5551,4
NetApp,468,2017,5546,229
Raymond James Financial,469,2017,5520,529
